"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.117250002E-3,2.192512341E-2,6.144556403E-1,9.464333951E-2
1.315725000E-2,2.657798585E-3,6.225135922E-1,1.059823409E-1
2.319825000E-2,4.024059698E-2,6.226810813E-1,1.213120297E-1
3.323825001E-2,6.629660726E-2,5.774007440E-1,1.128964573E-1
4.327825000E-2,7.590661943E-2,4.756557345E-1,7.798481733E-2
5.331824999E-2,6.268850714E-2,2.717960179E-1,3.688116744E-2
6.335825000E-2,6.290422380E-2,1.088025793E-1,2.164762095E-2
7.339825000E-2,4.749492928E-2,1.416377872E-1,1.468086708E-2
8.343925000E-2,-1.488295943E-2,2.863853872E-1,4.727834836E-3
9.347925000E-2,-7.275580615E-2,4.441823959E-1,-1.873317175E-2
1.035192500E-1,-1.002665311E-1,5.887965560E-1,-4.911158234E-2
1.135592500E-1,-9.299780428E-2,7.273189425E-1,-4.597137123E-2
1.235992500E-1,-2.217476070E-2,8.395131230E-1,-1.713253371E-2
1.336402500E-1,5.893570557E-2,9.288869500E-1,9.910373017E-3
1.436802500E-1,1.253101975E-1,9.971448183E-1,3.085293993E-2
1.537202500E-1,1.992392093E-1,1.027153015E0,4.968712851E-2
1.637602500E-1,2.590506375E-1,1.005774260E0,5.664863065E-2
1.738002500E-1,2.981582582E-1,1.010138988E0,5.206339434E-2
1.838412500E-1,3.109286427E-1,1.098059773E0,1.267550793E-2
1.938812500E-1,2.931459546E-1,1.320896626E0,-5.572755635E-2
2.039212500E-1,2.368677855E-1,1.506798029E0,-1.055688784E-1
2.139612500E-1,1.508816183E-1,1.697684169E0,-1.580784768E-1
2.240012500E-1,4.153674841E-2,2.013965130E0,-2.286554426E-1
2.340412500E-1,-5.220551416E-2,2.413715124E0,-3.055422604E-1
2.440822500E-1,-1.777669974E-2,3.019945145E0,-3.038152158E-1
2.541222500E-1,3.441886604E-1,4.145390511E0,-1.546594203E-1
2.641622500E-1,3.588134050E-1,4.656314373E0,-2.505702376E-1
